head,description,tail,description,weight,,,head,description,tail,entity_score,relation_score
Dr. ,"Dr. discussed the patient's care regarding lung cancer and spine lesions, leading to a decision for discharge against medical advice (AMA).",Patient,"Dr. discussed the patient's care regarding lung cancer and spine lesions, leading to a decision for discharge against medical advice (AMA).",9,,,,,,,
DVTs,"DVTs can lead to venous stasis, a condition affecting the left leg.",Venous Stasis,"DVTs can lead to venous stasis, a condition affecting the left leg.",6,,,,,,,
Triamcinolone Cream,Triamcinolone Cream is used to treat venous stasis in the lower extremity.,Venous Stasis,Triamcinolone Cream is used to treat venous stasis in the lower extremity.,9,,,,,,,
Warfarin 8.5 mg daily,"Warfarin 8.5 mg daily is a treatment for DVTs, indicating an ongoing management plan.",DVTs,"Warfarin 8.5 mg daily is a treatment for DVTs, indicating an ongoing management plan.",10,,,,,,,
Triamcinolone Cream,Both treatments are part of the ongoing management plan for DVTs.,Warfarin 8.5 mg daily,Both treatments are part of the ongoing management plan for DVTs.,7,,,,,,,
Mr.,The patient underwent an aortic valve replacement as part of his surgical evaluation for coronary artery disease and other conditions.,Aortic valve replacement,The patient underwent an aortic valve replacement as part of his surgical evaluation for coronary artery disease and other conditions.,8,,,,,,,
Mr.,The patient had three coronary artery bypass grafts performed to address his coronary artery disease.,Coronary artery bypass graft x3,The patient had three coronary artery bypass grafts performed to address his coronary artery disease.,9,,,,,,,
Dyspnea on exertion,"Both dyspnea on exertion and angina are symptoms experienced by the patient, likely related to his underlying heart conditions.",Angina,"Both dyspnea on exertion and angina are symptoms experienced by the patient, likely related to his underlying heart conditions.",7,,,,,,,
Mechanical Fall with vertebral and rib fractures,"The patient's history of a mechanical fall may have contributed to the development of a spontaneous subarachnoid hemorrhage, possibly related to an aneurysm.",Spontaneous Subarachnoid Hemorrhage,"The patient's history of a mechanical fall may have contributed to the development of a spontaneous subarachnoid hemorrhage, possibly related to an aneurysm.",6,,,,,,,
Cardiac catheterization,The abnormal stress test results led to the patient's referral for cardiac catheterization which confirmed left main disease.,Stress test,The abnormal stress test results led to the patient's referral for cardiac catheterization which confirmed left main disease.,7,,,,,,,
Carotid Ultrasound,"Both imaging procedures, carotid ultrasound and CTA head, were performed on the patient to evaluate his vascular conditions.",CTA Head,"Both imaging procedures, carotid ultrasound and CTA head, were performed on the patient to evaluate his vascular conditions.",8,,,,,,,
Transesophageal Echocardiogram,"The transesophageal echocardiogram post-bypass showed a tissue prosthesis in place, indicating its use during the surgical procedure.",Tissue prosthesis #25,"The transesophageal echocardiogram post-bypass showed a tissue prosthesis in place, indicating its use during the surgical procedure.",9,,,,,,,
Mr.,"Mr. has a history of stage IIIb esophageal cancer, indicating an ongoing medical condition that may be related to his current symptoms.",Stage IIIb Esophageal Cancer,"Mr. has a history of stage IIIb esophageal cancer, indicating an ongoing medical condition that may be related to his current symptoms.",8,,,,,,,
Mr.,The patient's J-tube site abscess is a complication from the past procedure and is currently causing him pain and redness in the abdomen.,J-tube Site Abscess,The patient's J-tube site abscess is a complication from the past procedure and is currently causing him pain and redness in the abdomen.,9,,,,,,,
Mr.,"The patient reports abdominal pain and bleeding from his incision, which are symptoms related to the J-tube site abscess and require medical attention.",Abdominal Pain and Bleeding from Incision,"The patient reports abdominal pain and bleeding from his incision, which are symptoms related to the J-tube site abscess and require medical attention.",10,,,,,,,
J-tube Site Abscess,"The reddened, warm, tender condition at the J-tube site is a direct result of the abscess and requires treatment to prevent further complications.","Reddened, Warm, Tender J-tube Site","The reddened, warm, tender condition at the J-tube site is a direct result of the abscess and requires treatment to prevent further complications.",9,,,,,,,
Thoracic Clinic,"The patient was evaluated in the Thoracic Clinic after calling the office about his symptoms, leading to his admission for observation and treatment.",Office,"The patient was evaluated in the Thoracic Clinic after calling the office about his symptoms, leading to his admission for observation and treatment.",8,,,,,,,
Food and Drug Administration,"The Food and Drug Administration has not cleared or approved the test developed for islet cell antibodies, indicating regulatory oversight.",Islet Cell Antibody Test,"The Food and Drug Administration has not cleared or approved the test developed for islet cell antibodies, indicating regulatory oversight.",7,,,,,,,
Norvir,"Norvir can cause hyperglycemia, which may have contributed to the patient's diabetic ketoacidosis, showing a potential causal relationship.",Diabetic Ketoacidosis Event,"Norvir can cause hyperglycemia, which may have contributed to the patient's diabetic ketoacidosis, showing a potential causal relationship.",6,,,,,,,
Rayataz/Epzicom,"Rayataz/Epzicom can cause lactic acidosis and was initially held due to hyperglycemic effects, potentially contributing to the patient's condition that led to diabetic ketoacidosis.",Diabetic Ketoacidosis Event,"Rayataz/Epzicom can cause lactic acidosis and was initially held due to hyperglycemic effects, potentially contributing to the patient's condition that led to diabetic ketoacidosis.",6,,,,,,,
Islet Cell Antibody Test,"The negative result of the Islet Cell Antibody Test helped rule out certain types of diabetes, which is relevant to understanding the patient's condition and treatment approach.",Diabetic Ketoacidosis Event,"The negative result of the Islet Cell Antibody Test helped rule out certain types of diabetes, which is relevant to understanding the patient's condition and treatment approach.",5,,,,,,,
Clonidine 0.2 mg Tablet,"Both medications are prescribed by healthcare professionals, indicating they are part of a treatment regimen.",Risperidone 0.5 mg Tablet,"Both medications are prescribed by healthcare professionals, indicating they are part of a treatment regimen.",6,,,,,,,
Fluconazole 100 mg Tablet,"These medications are both antifungal and antiviral drugs, suggesting they might be prescribed for different types of infections.",Valacyclovir 500 mg Tablet,"These medications are both antifungal and antiviral drugs, suggesting they might be prescribed for different types of infections.",7,,,,,,,
Risperidone 0.5 mg Tablet,"Both medications are psychiatric drugs, indicating a possible co-prescription for mental health conditions.",Trazodone 100 mg Tablet,"Both medications are psychiatric drugs, indicating a possible co-prescription for mental health conditions.",6,,,,,,,
Citalopram 20 mg Tablet,"These medications are both used to treat depression and anxiety, suggesting they might be prescribed together or as alternatives.",Quetiapine 200 mg Tablet,"These medications are both used to treat depression and anxiety, suggesting they might be prescribed together or as alternatives.",7,,,,,,,
Valacyclovir 500 mg Tablet,"Both items are medical supplies, indicating a patient's need for both antiviral treatment and insulin management.",Insulin Pen Needle 29 x Needle,"Both items are medical supplies, indicating a patient's need for both antiviral treatment and insulin management.",6,,,,,,,
Ritonavir 100 mg Capsule,"These medications are both HIV protease inhibitors, suggesting they might be part of a combination therapy for HIV treatment.",Atazanavir 150 mg Capsule,"These medications are both HIV protease inhibitors, suggesting they might be part of a combination therapy for HIV treatment.",7,,,,,,,
Emtricitabine-Tenofovir 200 300 mg Tablet,"Both medications are prescribed by healthcare professionals, indicating they are part of a treatment regimen.",Fenofibrate Micronized 200 mg Capsule,"Both medications are prescribed by healthcare professionals, indicating they are part of a treatment regimen.",6,,,,,,,
Insulin Pen Needle 29 x Needle,These items are related as the needle is used with the insulin pen for administering medication.,Humalog Insulin Pen,These items are related as the needle is used with the insulin pen for administering medication.,8,,,,,,,
Test Strips for Glucometer,"Both items are used in conjunction to test blood glucose levels, indicating a coordinated approach to diabetes management.",Lancets for Testing Blood Sugar,"Both items are used in conjunction to test blood glucose levels, indicating a coordinated approach to diabetes management.",7,,,,,,,
RX *fluconazole 200 mg 1 tablet(s) by mouth Daily Disp #*6 Tablet Refills:*0,This relationship indicates that the fluconazole prescription is related to the patient's discharge diagnosis of fevers following a ureteroscopy.,Discharge Diagnosis: Fevers s/p ureteroscopy,This relationship indicates that the fluconazole prescription is related to the patient's discharge diagnosis of fevers following a ureteroscopy.,1,,,,,,,
11. Ciprofloxacin HCl 500 mg PO ONCE Duration: 1 Dose Discharge,"This relationship suggests that the ciprofloxacin prescription is related to the patient's discharge diagnosis, possibly for post-surgical infection prevention.",Discharge Diagnosis: Fevers s/p ureteroscopy,"This relationship suggests that the ciprofloxacin prescription is related to the patient's discharge diagnosis, possibly for post-surgical infection prevention.",1,,,,,,,
Discharge Instructions: -You can expect to see occasional blood in your urine and to possibly experience some urgency and frequency over the next month; this may be related to the passage of stone fragments or the indwelling ureteral stent (if there is one). -The kidney stone may or may not have been removed AND/or there may fragments/others still in the process of passing. -You may experience some pain associated with spasm of your ureter.,"These instructions are directly related to the patient's discharge diagnosis, providing expected symptoms and conditions following a ureteroscopy.",Discharge Diagnosis: Fevers s/p ureteroscopy,"These instructions are directly related to the patient's discharge diagnosis, providing expected symptoms and conditions following a ureteroscopy.",1,,,,,,,
Discharge Instructions: -Ureteral stents MUST be removed or exchanged and therefore it is IMPERATIVE that you follow-up as directed.,"This relationship indicates the importance of following up for removal of an indwelling ureteral stent, related to the patient's discharge diagnosis.",Discharge Diagnosis: Fevers s/p ureteroscopy,"This relationship indicates the importance of following up for removal of an indwelling ureteral stent, related to the patient's discharge diagnosis.",1,,,,,,,
Discharge Instructions: -Do not lift anything heavier than a phone book (10 pounds),This relationship suggests that physical activity restrictions are related to the patient's expected symptoms and conditions following a ureteroscopy.,"Discharge Condition: Good Mental Status: Alert and Oriented Ambulatory Status: Ambulating with cane, at baseline Discharge Instructions: -You can expect to see occasional blood in your urine and to possibly experience some urgency and frequency over the next month; this may be related to the passage of stone fragments or the indwelling ureteral stent (if there is one). -The kidney stone may or may not have been removed AND/or there may fragments/others still in the process of passing. -You may experience some pain associated with spasm of your ureter.",This relationship suggests that physical activity restrictions are related to the patient's expected symptoms and conditions following a ureteroscopy.,1,,,,,,,
"Discharge Instructions: -IBUPROFEN (the ingredient of Advil, Motrin, etc.) may be taken even though you may also be taking Tylenol/Acetaminophen. You may alternate these medications for pain control.","This relationship indicates that the use of ibuprofen is related to managing post-surgical pain, which could be associated with the patient's discharge diagnosis.",Discharge Diagnosis: Fevers s/p ureteroscopy,"This relationship indicates that the use of ibuprofen is related to managing post-surgical pain, which could be associated with the patient's discharge diagnosis.",1,,,,,,,
Mitral Regurgitation Chronic Kidney Disease,Both conditions are chronic health issues that may require ongoing management.,CAD,Both conditions are chronic health issues that may require ongoing management.,6,,,,,,,
Mitral Regurgitation Chronic Kidney Disease,"Chronic kidney disease and hypertension often coexist, affecting overall cardiovascular health.",Hypertension,"Chronic kidney disease and hypertension often coexist, affecting overall cardiovascular health.",7,,,,,,,
Mitral Regurgitation Chronic Kidney Disease,These conditions can all contribute to a higher risk of heart disease and require coordinated management.,Hypercholesterolemia,These conditions can all contribute to a higher risk of heart disease and require coordinated management.,6,,,,,,,
Mitral Regurgitation Chronic Kidney Disease,Both chronic conditions indicate the patient has multiple long-term health issues that need monitoring.,IDDM,Both chronic conditions indicate the patient has multiple long-term health issues that need monitoring.,5,,,,,,,
Mitral Regurgitation Chronic Kidney Disease,The presence of both chronic and digestive system conditions suggests a complex medical profile.,Gastroesophageal Reflux Disease,The presence of both chronic and digestive system conditions suggests a complex medical profile.,4,,,,,,,
CAD,"Both conditions are risk factors for heart disease, often seen together in patients.",Hypertension,"Both conditions are risk factors for heart disease, often seen together in patients.",7,,,,,,,
CAD,High cholesterol and coronary artery disease are common comorbidities that can exacerbate each other.,Hypercholesterolemia,High cholesterol and coronary artery disease are common comorbidities that can exacerbate each other.,6,,,,,,,
CAD,"Both conditions may affect the heart's function, requiring careful management of both.",IDDM,"Both conditions may affect the heart's function, requiring careful management of both.",5,,,,,,,
Hypertension,"High blood pressure and high cholesterol are often linked in patients, necessitating joint treatment strategies.",Hypercholesterolemia,"High blood pressure and high cholesterol are often linked in patients, necessitating joint treatment strategies.",6,,,,,,,
Hypertension,"Both conditions can impact the cardiovascular system, requiring careful monitoring of both.",IDDM,"Both conditions can impact the cardiovascular system, requiring careful monitoring of both.",5,,,,,,,
Hypercholesterolemia,High cholesterol and diabetes can interact in ways that affect overall health management.,IDDM,High cholesterol and diabetes can interact in ways that affect overall health management.,4,,,,,,,
Mitral Regurgitation Chronic Kidney Disease,The primary diagnosis indicates the patient's condition is stable enough for discharge.,"Discharge Condition: Vital signs stable, ambulatory.",The primary diagnosis indicates the patient's condition is stable enough for discharge.,8,,,,,,,
CAD,The patient's cardiac condition was stable during hospitalization and allowed for discharge.,"Discharge Condition: Vital signs stable, ambulatory.",The patient's cardiac condition was stable during hospitalization and allowed for discharge.,7,,,,,,,
Mr. ,"Mr. is the patient with a Jejunostomy tube site abscess, indicating his direct involvement and condition.",Jejunostomy tube site abscess,"Mr. is the patient with a Jejunostomy tube site abscess, indicating his direct involvement and condition.",10,,,,,,,
Mr. ,"Mr. was admitted to the hospital, indicating a relationship between him and the organization providing care.",Hospital,"Mr. was admitted to the hospital, indicating a relationship between him and the organization providing care.",9,,,,,,,
Mr. ,"The hospice agency will resume care, indicating a continued relationship between Mr. and this organization post-discharge.",Hospice agency,"The hospice agency will resume care, indicating a continued relationship between Mr. and this organization post-discharge.",8,,,,,,,
Mr. ,"Mr. was prescribed TraMADOL for pain, indicating his use of this technology.",TraMADOL (Ultram),"Mr. was prescribed TraMADOL for pain, indicating his use of this technology.",7,,,,,,,
Mr. ,"Mr. was prescribed Dexamethasone, indicating his use of this technology.",Dexamethasone,"Mr. was prescribed Dexamethasone, indicating his use of this technology.",7,,,,,,,
Mr. ,"Mr. was prescribed Amoxicillin-Clavulanic Acid, indicating his use of this technology.",Amoxicillin-Clavulanic Acid,"Mr. was prescribed Amoxicillin-Clavulanic Acid, indicating his use of this technology.",7,,,,,,,
Mr. ,"Mr. will be seen at the Thoracic Clinic, indicating his future relationship with this organization.",Thoracic Clinic,"Mr. will be seen at the Thoracic Clinic, indicating his future relationship with this organization.",8,,,,,,,
Mr. ,"Mr. has the contact information for Dr., indicating his relationship with this person in case of emergencies.",Dr. ,"Mr. has the contact information for Dr., indicating his relationship with this person in case of emergencies.",8,,,,,,,
Mr. ,"Mr. was instructed to take Ensure or Boost, indicating his use of these technologies.",Ensure or Boost,"Mr. was instructed to take Ensure or Boost, indicating his use of these technologies.",7,,,,,,,
Jejunostomy tube site abscess,"The redness is a symptom of the Jejunostomy tube site abscess, showing a direct relationship between the condition and its manifestation.",Redness around the J tube site,"The redness is a symptom of the Jejunostomy tube site abscess, showing a direct relationship between the condition and its manifestation.",9,,,,,,,
Jejunostomy tube site abscess,"The incision and drainage procedure was performed to address the Jejunostomy tube site abscess, indicating its direct impact on resolving the condition.",Incision and drainage procedure,"The incision and drainage procedure was performed to address the Jejunostomy tube site abscess, indicating its direct impact on resolving the condition.",9,,,,,,,
Mr. ,"Mr. was ambulatory and independent, indicating his physical condition post-procedure.",Ambulatory - Independent,"Mr. was ambulatory and independent, indicating his physical condition post-procedure.",8,,,,,,,
Mr. ,"Mr. was instructed to watch for these symptoms, indicating his need to be vigilant about his condition post-discharge.","Increased redness, drainage, fevers or any other symptoms","Mr. was instructed to watch for these symptoms, indicating his need to be vigilant about his condition post-discharge.",8,,,,,,,
Hospice agency,"The hospice agency will perform daily dressing changes, indicating their role in Mr.'s ongoing care.",Daily dressing changes,"The hospice agency will perform daily dressing changes, indicating their role in Mr.'s ongoing care.",8,,,,,,,
Mr. ,"Mr. was able to walk independently, indicating his physical recovery and mobility.",Walking independently,"Mr. was able to walk independently, indicating his physical recovery and mobility.",8,,,,,,,
Mr. ,"Mr. was managed for pain, indicating his need for pain relief and management strategies.",Pain management,"Mr. was managed for pain, indicating his need for pain relief and management strategies.",8,,,,,,,
Mr. ,"Mr. was prescribed medications to manage constipation, indicating his ongoing need for care related to this issue.",Constipation,"Mr. was prescribed medications to manage constipation, indicating his ongoing need for care related to this issue.",8,,,,,,,
Mr. ,"Mr. was prescribed prophylactic antibiotics, indicating his use of these technologies for prevention.",Prophylactic antibiotics,"Mr. was prescribed prophylactic antibiotics, indicating his use of these technologies for prevention.",8,,,,,,,
Mr. ,"Mr. was instructed to follow a regular diet, indicating his dietary management post-procedure.",Regular diet in moderation,"Mr. was instructed to follow a regular diet, indicating his dietary management post-procedure.",8,,,,,,,
Mr. ,"Mr. was managed for prophylactic pain, indicating his need for ongoing pain relief strategies.",Prophylactic pain management,"Mr. was managed for prophylactic pain, indicating his need for ongoing pain relief strategies.",8,,,,,,,
Mr. ,"Mr. was instructed to increase his protein intake, indicating his need for nutritional support post-procedure.",Increased protein intake,"Mr. was instructed to increase his protein intake, indicating his need for nutritional support post-procedure.",8,,,,,,,
Mr. ,"Mr. was managed for prophylactic constipation, indicating his need for ongoing strategies to prevent this issue.",Prophylactic constipation management,"Mr. was managed for prophylactic constipation, indicating his need for ongoing strategies to prevent this issue.",8,,,,,,,
Mr. ,"Mr. was given follow-up instructions, indicating his need to adhere to these guidelines for ongoing care.",Follow-up instructions,"Mr. was given follow-up instructions, indicating his need to adhere to these guidelines for ongoing care.",8,,,,,,,
Mr. ,"Mr. was involved in the process of drainage and dressing changes, indicating his active participation in his own care.",Drainage and dressing changes,"Mr. was involved in the process of drainage and dressing changes, indicating his active participation in his own care.",8,,,,,,,
Mr. ,"Mr. was monitored for incision site healing, indicating his need for care related to this process.",Incision site healing,"Mr. was monitored for incision site healing, indicating his need for care related to this process.",8,,,,,,,
